run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,invariant_failures
monte_carlo,paper_core_mc_0038,reference_parallel_lmsr,True,6.657960577604921176543578076E-29,True,True,1,0,0,0.0204509465714169498966539509,0
monte_carlo,paper_core_mc_0039,reference_parallel_lmsr,True,1.710066418578167609176287776E-29,True,True,1,0,0,-0.001816129267484781742287345,0
monte_carlo,paper_core_mc_0040,reference_parallel_lmsr,True,1.101247057084738219630317922E-28,True,True,1,0,0,-0.0771907635967673105732608476,0
monte_carlo,paper_core_mc_0041,reference_parallel_lmsr,True,4.848825163586693396310149690E-29,True,True,1,0,0,-0.0572397431014053966468020343,0
monte_carlo,paper_core_mc_0042,reference_parallel_lmsr,True,5.495538140732590317503110794E-30,True,True,1,0,0,-0.000310690489450228868352096,0
monte_carlo,paper_core_mc_0043,reference_parallel_lmsr,True,3.955061355353809250372268227E-29,True,True,1,0,0,-0.0545097097032154035719468959,0
monte_carlo,paper_core_mc_0044,reference_parallel_lmsr,True,1.039099541349144840760917994E-28,True,True,1,0,0,0.0101311921877075086134146887,0
monte_carlo,paper_core_mc_0045,reference_parallel_lmsr,True,6.818704738004790448381742757E-29,True,True,1,0,0,-0.0022493189069959649091811111,0
monte_carlo,paper_core_mc_0046,reference_parallel_lmsr,True,1.119950059704019367934069373E-29,True,True,1,0,0,-0.001719186664227461999123135,0
monte_carlo,paper_core_mc_0047,reference_parallel_lmsr,True,5.699249554541504078718041613E-30,True,True,1,0,0,-0.004845920121107765832892413,0
monte_carlo,paper_core_mc_0048,reference_parallel_lmsr,True,6E-80,True,True,1,0,0,-0.011284669443003371301118722,0
monte_carlo,paper_core_mc_0049,reference_parallel_lmsr,True,3.476571786623656295091740606E-29,True,True,1,0,0,-0.011053035507813645932964371,0
monte_carlo,paper_core_mc_0050,reference_parallel_lmsr,True,9.824617161981882378952555417E-30,True,True,1,0,0,-0.0071067924741396382597686078,0
monte_carlo,paper_core_mc_0051,reference_parallel_lmsr,True,3.867652627556264570160486906E-29,True,True,1,0,0,-0.0083755588698539853538537891,0
monte_carlo,paper_core_mc_0052,reference_parallel_lmsr,True,6.145914613796429342940578461E-29,True,True,1,0,0,-0.0018150722537026306426813754,0
monte_carlo,paper_core_mc_0053,reference_parallel_lmsr,True,3.165991628949669506246076235E-29,True,True,1,0,0,-0.014212127917587536904152955,0
monte_carlo,paper_core_mc_0054,reference_parallel_lmsr,True,0E-81,True,True,1,0,0,0.000168685030197604143884018,0
monte_carlo,paper_core_mc_0055,reference_parallel_lmsr,True,4.224473214048229264976080358E-29,True,True,1,0,0,0.0077236989502224575583672840,0
monte_carlo,paper_core_mc_0056,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0078762739076486936869837589,0
monte_carlo,paper_core_mc_0057,reference_parallel_lmsr,True,0E-80,True,True,1,0,0,0.0024645276940431905424971291,0
monte_carlo,paper_core_mc_0058,reference_parallel_lmsr,True,7.443207733508470309582176435E-29,True,True,1,0,0,0.0018498518733532855167303023,0
monte_carlo,paper_core_mc_0059,reference_parallel_lmsr,True,5E-80,True,True,1,0,0,-0.0088632889808577783369199328,0
monte_carlo,paper_core_mc_0060,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0239760845870614872155100414,0
