run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
high_skew,fpmm_compare_high_skew_0000,-0.0066891344099499313920914506,0.1566551513097799789685342160,0.1633442857197299103606256666,1E-80,6.861820119868955465962436455E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0001,-0.0221230804759800646061273632,0.3109833968032384439573743934,0.3331064772792185085635017566,1E-80,9.438035652551723592296478179E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0002,-0.0747213061776223348545992667,0.7445299999541575936874539055,0.8192513061317799285420531722,7.419422762462116291367197871E-29,1.514200486561017581577335933E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0003,-0.1763433036991518046244898324,0.9926809593188826047210197254,1.169024263018034409345509558,0E-80,1.303926912844162771757250317E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0004,-0.0068864493663323281572896644,0.1566551513097799789685342163,0.1635416006761123071258238807,2E-80,1.408005212182692336965155870E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0005,-0.0236781404862025399344941312,0.3109833968032384439573743934,0.3346615372894409838918685246,1E-80,2.821369465899365523254816260E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0006,-0.0958624509618428799623167415,0.7445299999541575936874539053,0.8403924509160004736497706468,3.297521227760940573940976832E-29,5.089994563585605489744302898E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0007,-0.3023503681361490002940297838,0.9926809593188826047210197243,1.295031327455031605015049508,1.9E-79,6.275305711856023854047221962E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0008,-0.0112603206315048076429010895,0.1317813993305021878729998474,0.1430417199620069955159009369,1E-80,8.353865974462831061075334057E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0009,-0.0171268389716577758799142236,0.2628077326380729513499073781,0.2799345716097307272298216017,1E-80,7.057800557111071365735600285E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0010,-0.0445825084955302624693123257,0.6474124101302304255200917914,0.6919949186257606879894041171,6.075803383539105863143535612E-29,1.002912449080147216728817943E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0011,-0.1151197169354772419883068949,0.9962473197442573067850386437,1.111367036679734548773345539,8E-80,8.459848191988175014118123089E-32,True,True,True,True
