run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
monte_carlo,layer_c_mc_0010,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,0,14,primary,8.602905116578052151105264542E-29,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0010,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,150,0,14,primary,0.000000,True,True,2,True,1,0,0,True,0.000001198081582468833404260219354,0.0002393705522076403003459762162,0.0007282958611086791507317,0.0000041871377413374558726149,True,0
monte_carlo,layer_c_mc_0011,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,25,15,primary,5E-80,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0011,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,25,15,primary,0.000000,True,True,3,True,1,0,0,True,0.000001597300230885144039043600942,0.0001019130258728664444195326138,0.2137828344054610911007694,0.003851669050672019302085926,True,0
monte_carlo,layer_c_mc_0012,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,100,25,20,primary,0E-80,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0012,Randomized active-LP cancellation path.,global_state_avm_fixed_point,8,100,25,20,primary,0.000,True,True,3,True,1,0,0,True,0,0.0006384001119313542169958420456,0.03378453750310524366960133,0.000464183624392014622270921,True,0
monte_carlo,layer_c_mc_0013,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,25,19,primary,4.510983014677374979964215471E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0013,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,150,25,19,primary,0.000000,True,True,3,True,1,0,0,True,0.000001591280608263214962656107569,0.0003145239257737335619050038826,0.1255725645792795911466619,0.0036890935318843675569846308,True,0
monte_carlo,layer_c_mc_0014,Randomized active-LP cancellation path.,reference_parallel_lmsr,3,50,25,18,primary,2.788825457705321310119092872E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0014,Randomized active-LP cancellation path.,global_state_avm_fixed_point,3,50,25,18,primary,0.000000,True,True,4,True,1,0,0,True,0.000001590597128582217601950479402,0.0003101297733249569737468523033,0.2005889157075639342956851,0.0028339396966358281773543891,True,0
monte_carlo,layer_c_mc_0015,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,100,25,17,primary,4.312503683829042327942157792E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0015,Randomized active-LP resolved market path.,global_state_avm_fixed_point,8,100,25,17,primary,0.000000,True,True,3,True,1,0,0,True,0.000005206546507946421087082827064,0.0002788612653678183384873832440,0.2825771976110139704721129,0.0016363542453302327352925611,True,0
monte_carlo,layer_c_mc_0016,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,0,16,primary,4E-80,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0016,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,150,0,16,primary,0.000000,True,True,4,True,1,0,0,True,0.000001592329990384407077471335195,0.0003242006319081764009260860599,0.4218445472723219868579493,0.003931501471665791252766093,True,0
monte_carlo,layer_c_mc_0017,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,50,0,10,primary,7E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0017,Randomized active-LP resolved market path.,global_state_avm_fixed_point,8,50,0,10,primary,0.000000,True,True,2,True,1,0,0,True,0.000001065428179913839478650473469,0.00008406181447250621642828315100,0.00200945635415954737804542,0.000048159223879280764058405,True,0
monte_carlo,layer_c_mc_0018,Randomized active-LP cancellation path.,reference_parallel_lmsr,3,150,25,13,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0018,Randomized active-LP cancellation path.,global_state_avm_fixed_point,3,150,25,13,primary,0.000000,True,True,2,True,1,0,0,True,0.000001932295888425491686973403406,0.0001982418845073460100616334776,0.0002621083592189884626535,0.000002420905470959980800991,True,0
monte_carlo,layer_c_mc_0019,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,13,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0019,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,0,13,primary,0.000000,True,True,2,True,1,0,0,True,0.000002032466048702775838822467965,0.0005083079207437289988890626935,0.00002289955499204814351168,1.03728382215045823869E-7,True,0
monte_carlo,layer_c_mc_0020,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,15,primary,5.435204861762089243445070977E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0020,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,0,15,primary,0.0,True,True,3,True,1,0,0,True,0.000001621120817521393634030682880,0.0002471419004369111766800067264,0.08070529102979163792938540,0.001432695610281324067882755,True,0
monte_carlo,layer_c_mc_0021,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,50,0,16,primary,2.620248180492775260150457158E-30,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0021,Randomized active-LP resolved market path.,global_state_avm_fixed_point,8,50,0,16,primary,0.000000,True,True,3,True,1,0,0,True,0.000005122321062242666677693991384,0.0002623149330574631596683323810,0.01439503270708536271434983,0.000193732816813514406811885,True,0
monte_carlo,layer_c_mc_0022,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,25,19,primary,3.965037569867963006009939026E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0022,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,100,25,19,primary,0.000000,True,False,4,True,1,0,0,True,0.000002921306101909817261312916386,0.0003382531931293194699863103822,0.03112242466416525066938808,0.0005504820938460532184836580,True,0
monte_carlo,layer_c_mc_0023,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,25,18,primary,3.023732148256279614548123002E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0023,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,25,18,primary,0.000000,True,True,4,True,1,0,0,True,0.000002416845900356351189576001739,0.0003257541338871567857857649647,2.6972005680156783746290833,0.018131827333981696203726526,True,0
adversarial,layer_c_adv_0000,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,3,100,25,7,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0000,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,7,primary,0.000000,True,True,2,True,1,0,0,True,6.335331027817167000822595411E-7,0.0001734192888840119139867998881,0.0001449802559514218956330,0.0000011154299733608612383903,True,0
adversarial,layer_c_adv_0001,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=hedge",reference_parallel_lmsr,3,100,25,6,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0001,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,6,primary,0.000000,True,True,2,True,1,0,0,True,6.335331027817167000822595411E-7,0.0001734192888840119139867998881,0.0001449802559514218956330,0.000001115382586199677628953,True,0
adversarial,layer_c_adv_0004,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,3,100,25,8,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0004,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,0.000001802654719877387128473245419,0.0001634795491392131184790964469,0.0001706641688576680798660,0.0000013132057302654247868070,True,0
adversarial,layer_c_adv_0005,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=hedge",reference_parallel_lmsr,3,100,25,8,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0005,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,0.000001802654719877387128473245419,0.0001634795491392131184790964469,0.0001706641688576680798660,0.000001313170189894537079729,True,0
adversarial,layer_c_adv_0010,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=favorite",reference_parallel_lmsr,3,100,25,8,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0010,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,6.335331027817167000822595411E-7,0.0001734192888840119139867998881,0.03379543312585452537425928,0.001508959575889996201512900,True,0
adversarial,layer_c_adv_0011,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=hedge",reference_parallel_lmsr,3,100,25,8,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0011,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,6.335331027817167000822595411E-7,0.0001734192888840119139867998881,0.03379543312585452537425928,0.0015090542464962396453145481,True,0
adversarial,layer_c_adv_0014,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=favorite",reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0014,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,9,primary,0.000000,True,True,2,True,1,0,0,True,0.000001802654719877387128473245419,0.0001634795491392131184790964469,0.03401050538455761751870576,0.001518028920957070357293448,True,0
adversarial,layer_c_adv_0015,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=hedge",reference_parallel_lmsr,3,100,25,10,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0015,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,10,primary,0.000000,True,True,2,True,1,0,0,True,0.000001802654719877387128473245419,0.0001634795491392131184790964469,0.03401050538455761751870575,0.0015175958855257566891069852,True,0
