run_family,scenario_name,mechanism,num_outcomes,duration_steps,duration_bucket,clock_mode,split,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,entry_max_probability,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.0497287105620372980259779805,0.37321248998497226458826673778103969910790842037413806624608093847379884119229350,0.00,157.2728811959374344933660815,157.2728811959374344933660815,,,0
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,3,,,event_step,,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.0285309790984050285798386772,0.36453821869633735321054036748875512938789571638823441019473143526245027043061622,0,0E-26,157.2784437392927170506264644,,,0
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0112416539885985568271736626,0.37915245309398876738598755936608950179580108231784308283883463222984869357606271,0,133.0701837547833302982396792,133.0701837547833302982396792,,,0
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,3,,,event_step,,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,0.1018983956124905909563151982,0.36930661396797519799915706654092579180541197329728521095914713013617673478435942,0,0E-26,132.9447015525772900184294114,,,0
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.014068869756453678612923326,0.37915245309398876738598755936608950179580108231784308283883463222984869357606271,0,165.0701837547833302982396792,165.0701837547833302982396792,,,0
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,3,,,event_step,,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,-0.056159793381424044787894356,0.36930661396797519799915706654092579180541197329728521095914713013617673478435942,0,0E-26,164.9447015525772900184294115,,,0
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0122219930005927025146081560,0.37915245309398876738598755936608950179580108231784308283883463222984869357606271,0,144.2331417875092955262269488,144.2331417875092955262269488,,,0
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,3,,,event_step,,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,0.0980768497875374270303082399,0.36930661396797519799915706654092579180541197329728521095914713013617673478435942,0,0E-26,144.2744205956654958134425334,,,0
adversarial,fpmm_compare_adv_0041,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0129287969425564829610455714,0.37915245309398876738598755936608950179580108231784308283883463222984869357606271,0,152.2331417875092955262269488,152.2331417875092955262269488,,,0
adversarial,fpmm_compare_adv_0041,fpmm_pool_share,3,,,event_step,,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,-0.0518860722849235162483593205,0.36930661396797519799915706654092579180541197329728521095914713013617673478435942,0,0E-26,152.2744205956654958134425334,,,0
adversarial,fpmm_compare_adv_0044,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.0110572406011133478308635096,0.37321248998497226458826673778103969910790842037413806624608093847379884119229350,0,134.8929241327522694572712648,134.8929241327522694572712647,,,0
adversarial,fpmm_compare_adv_0044,fpmm_pool_share,3,,,event_step,,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,0.0900307580849686752413782258,0.36453821869633735321054036748875512938789571638823441019473143526245027043061622,0,0E-26,134.8147489659016599435863497,,,0
adversarial,fpmm_compare_adv_0045,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.013142012305902015830037976,0.37321248998497226458826673778103969910790842037413806624608093847379884119229350,0.00,161.8929241327522694572712648,161.8929241327522694572712648,,,0
adversarial,fpmm_compare_adv_0045,fpmm_pool_share,3,,,event_step,,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.030387038659756840371399240,0.36453821869633735321054036748875512938789571638823441019473143526245027043061622,0,0E-26,161.8147489659016599435863498,,,0
adversarial,fpmm_compare_adv_0046,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.0119388032397865052313365987,0.37321248998497226458826673778103969910790842037413806624608093847379884119229350,0,146.2599532524631467020791434,146.2599532524631467020791434,,,0
adversarial,fpmm_compare_adv_0046,fpmm_pool_share,3,,,event_step,,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,0.0853290260785484354867311021,0.36453821869633735321054036748875512938789571638823441019473143526245027043061622,0,0E-26,146.3060243101608947768971549,,,0
adversarial,fpmm_compare_adv_0047,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.0121704445403185794534670949,0.37321248998497226458826673778103969910790842037413806624608093847379884119229350,0.00,149.2599532524631467020791434,149.2599532524631467020791434,,,0
adversarial,fpmm_compare_adv_0047,fpmm_pool_share,3,,,event_step,,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.0252690104765077331676492670,0.36453821869633735321054036748875512938789571638823441019473143526245027043061622,0,0E-26,149.3060243101608947768971550,,,0
high_skew,fpmm_compare_high_skew_0000,reference_parallel_lmsr_reserve_residual,16,,,event_step,,True,1E-80,True,True,1,0,0,0,-0.0714043064437861935420159911,0.099029904092495779023500469679516527416040880886350135029927553793465637387740176,0,307.4800095502305681448137863,307.4800095502305681448137863,,,0
high_skew,fpmm_compare_high_skew_0000,fpmm_pool_share,16,,,event_step,,True,6.861820119868955465962436455E-30,True,True,1,0,0,0,0.1566551513097799789685342160,0.074044095959022247782064991109926846666973524491005297606389422285228433009892669,0,0E-26,306.9384068759280391392083819,,,0
high_skew,fpmm_compare_high_skew_0001,reference_parallel_lmsr_reserve_residual,16,,,event_step,,True,1E-80,True,True,1,0,0,0,-0.0768716588947094307769136474,0.15341678469596019292539000444775057324392133539592900765735230768470242670647960,0,264.9516373839054250053717382,264.9516373839054250053717382,,,0
high_skew,fpmm_compare_high_skew_0001,fpmm_pool_share,16,,,event_step,,True,9.438035652551723592296478179E-30,True,True,1,0,0,0,0.3109833968032384439573743934,0.090270795534751941648990746366414940725738788711613978143915371332227779647690298,0,0E-26,262.3082379738498177313393200,,,0
high_skew,fpmm_compare_high_skew_0002,reference_parallel_lmsr_reserve_residual,16,,,event_step,,True,7.419422762462116291367197871E-29,True,True,1,0,0,0,-0.1053550649128290322877925213,0.44817425429451635035135956363878444831239364419159675285963990611444782980785254,0,166.3087794056605849667727734,166.3087794056605849667727734,,,0
high_skew,fpmm_compare_high_skew_0002,fpmm_pool_share,16,,,event_step,,True,1.514200486561017581577335933E-29,True,True,1,0,0,0,0.7445299999541575936874539055,0.22298124993941391822134318760203555063488129192525062923915412514586940782404398,0,0E-26,141.9921873349635174403577393,,,0
high_skew,fpmm_compare_high_skew_0003,reference_parallel_lmsr_reserve_residual,16,,,event_step,,True,0E-80,True,True,1,0,0,0,-0.1935970525146330416798639513,0.90820812667488851731549500532195857862459855573927718787971379516874574182107820,0,131.5538054696152494756991040,131.5538054696152494756991040,,,0
