run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,126.4120001429533299966369421,0.9734391184038828307910572264,0.9734391184038828307910572264
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,22.47877440485133703431987708,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,130.6760993156294390394371574,1.006274932525505530844002648,1.006274932525505530844002648
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,22.72187354505304032680285370,1.010814608297738776306972210,1.010814608297738776306972210
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,130.9120001429533299966369421,1.008091493398850083431130902,1.008091493398850083431130902
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,22.47877440485133703431987708,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,118.9295451379389544578856674,0.9158202658001655605938610952,0.9158202658001655605938610952
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,21.71446643421721826395710880,0.9702491965072723324074602399,0.9702491965072723324074602399
adversarial,fpmm_compare_adv_0014,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,119.3114968058940349694049744,0.9187614952285950421031585304,0.9187614952285950421031585304
adversarial,fpmm_compare_adv_0014,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,21.26012929338559582123135152,0.9499484330889892354417034773,0.9499484330889892354417034773
adversarial,fpmm_compare_adv_0015,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,134.1501333732330721049444909,1.033026828283143032758816174,1.033026828283143032758816174
adversarial,fpmm_compare_adv_0015,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,24.49387819892310061689828527,1.094439309105171677013373349,1.094439309105171677013373349
