run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,invariant_failures
monte_carlo,paper_quick_mc_0049,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,200,0,18,primary,3E-80,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0050,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,200,25,18,primary,8.002100055802891919539174941E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0051,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,100,25,15,primary,1.926320838095646268586749204E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0052,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,100,0,18,primary,9.754174130917635996789025846E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0053,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,200,25,14,primary,3.004054319826697507619408534E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0054,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,150,0,14,primary,1.195538836588731818278194372E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0055,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,50,19,primary,5.525995395978915371777816584E-30,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0056,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,200,50,14,primary,5.213166634432254702617660785E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0057,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,50,25,13,primary,0E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0058,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,200,0,20,primary,1.900578383191211146147948425E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0059,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,200,0,17,primary,1.270741679648258272159493802E-29,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0060,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,100,0,12,primary,1.307725584591726582289072450E-29,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0061,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,50,19,primary,1.777611194797731775516278982E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0062,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,50,13,primary,3.529041320593844927864318659E-29,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0063,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,200,25,16,primary,2.137016373864004328422180472E-29,True,True,4,True,1,0,0,0
